"Species","Habit","Bark","Foliage type","Phyllode arrangement","Infloresence","Anastomoses","Aril development","Atlas Search#link","","#img","#name","#href"
"Acacia aculeiformis","shrub","normal","phyllodes","scattered","simple","ellipsoid","unknown","http://bie.ala.org.au/search?q=Acacia+aculeiformis",,"default","Acacia aculeiformis - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27aculeiformis%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia acuminata","tree or shrub","normal","phyllodes","scattered","simple","cylindrical","well developed","http://bie.ala.org.au/search?q=Acacia+acuminata",,"default","Acacia acuminata - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27acuminata%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia acutata","shrub","normal","phyllodes","scattered","simple","globular","well developed","http://bie.ala.org.au/search?q=Acacia+acutata",,"default","Acacia acutata - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27acutata%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adenogonia","shrub","normal","phyllodes","scattered","simple","globular","well developed","http://bie.ala.org.au/search?q=Acacia+adenogonia",,"default","Acacia adenogonia - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adenogonia%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adinophylla","shrub","normal","phyllodes","scattered","simple","ellipsoid","well developed","http://bie.ala.org.au/search?q=Acacia+adinophylla",,"default","Acacia adinophylla - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adinophylla%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adnata","shrub","normal","phyllodes","scattered","simple","globular","well developed","http://bie.ala.org.au/search?q=Acacia+adnata",,"default","Acacia adnata - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adnata%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adoxa","shrub","normal","phyllodes","whorled","simple","globular","well developed","http://bie.ala.org.au/search?q=Acacia+adoxa",,"default","Acacia adoxa - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adoxa%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adsurgens","tree or shrub","normal","phyllodes","scattered","simple","cylindrical","well developed","http://bie.ala.org.au/search?q=Acacia+adsurgens",,"default","Acacia adsurgens - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adsurgens%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia adunca","tree or shrub","normal","phyllodes","scattered","racemose","globular","well developed","http://bie.ala.org.au/search?q=Acacia+adunca",,"default","Acacia adunca - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27adunca%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
"Acacia aemula","shrub","normal","phyllodes","scattered","simple","globular","well developed","http://bie.ala.org.au/search?q=Acacia+aemula",,"default","Acacia aemula - Map it","https://www.google.com/fusiontables/embedviz?q=select+col2+from+1h9rngHw9Cskbfpd7bAfYS19-RFiRDI9elMEh8fqA+where+col0+%3D+%27aemula%27&viz=MAP&h=false&lat=-25.385322964636917&lng=133.50917968750002&t=1&z=5&l=col2&y=2&tmplt=2&hml=TWO_COL_LAT_LNG"
